id,title,genre,description,rating
208,Jersey,Sports,A young man rises to power and avenges his family,7.4
210,RRR,Comedy,A young boy discovers his hidden powers,7.9
211,Arjun Reddy,Crime,A team of explorers travels through space and time,7.8
212,Rang De Basanti,Sci-Fi,An epic tale of warriors and kingdoms,8.4
213,Dilwale Dulhania Le Jayenge,Comedy,A young man rises to power and avenges his family,9.2
214,Swades,Adventure,"A story of love, betrayal, and revenge",9.1
215,Baahubali: The Beginning,Action,A team of explorers travels through space and time,7.4
216,Gully Boy,Sci-Fi,An epic tale of warriors and kingdoms,8.8
217,Dangal,Romance,A romantic tale with unexpected twists,8.0
218,Dangal,Sci-Fi,A young man rises to power and avenges his family,9.0
219,Magadheera,Mystery,A hero rises to defeat his enemies,8.3
220,PK,Thriller,A romantic tale with unexpected twists,9.2
221,Bharat Ane Nenu,Action,"A story of love, betrayal, and revenge",7.9
223,Baahubali: The Beginning,Mystery,A man fights for justice in a corrupt society,7.6
224,Dangal,Action,A young boy discovers his hidden powers,8.3
225,Sholay,Romance,A young boy discovers his hidden powers,7.1
226,Eega,Adventure,A hero rises to defeat his enemies,7.8
227,Sholay,Comedy,A young boy discovers his hidden powers,7.4
228,Pushpa: The Rise,Sci-Fi,An epic tale of warriors and kingdoms,9.4
229,Swades,Comedy,A romantic tale with unexpected twists,9.3
231,Dangal,Comedy,A team of explorers travels through space and time,7.8
232,Rang De Basanti,Drama,A team of explorers travels through space and time,7.9
233,Eega,Comedy,A team of explorers travels through space and time,8.2
234,Drishyam,Action,An epic tale of warriors and kingdoms,8.8
235,Pushpa: The Rise,Comedy,A young man rises to power and avenges his family,8.0
236,RRR,Sci-Fi,A hero rises to defeat his enemies,8.9
237,Kabir Singh,Sports,A young man rises to power and avenges his family,9.4
238,Gully Boy,Sci-Fi,A team of explorers travels through space and time,7.2
239,Magadheera,Romance,"A story of love, betrayal, and revenge",8.3
240,3 Idiots,Adventure,"A story of love, betrayal, and revenge",8.9
242,RRR,Romance,A team of explorers travels through space and time,7.8
243,3 Idiots,Sci-Fi,A young man rises to power and avenges his family,9.1
244,Pushpa: The Rise,Sci-Fi,A young boy discovers his hidden powers,8.6
245,Lagaan,Mystery,A team of explorers travels through space and time,8.4
246,Dilwale Dulhania Le Jayenge,Thriller,A romantic tale with unexpected twists,9.3
247,Rang De Basanti,Drama,A young man rises to power and avenges his family,7.9
248,Pushpa: The Rise,Sci-Fi,"A story of love, betrayal, and revenge",8.5
249,Ala Vaikunthapurramuloo,Adventure,A team of explorers travels through space and time,8.2
250,Kabir Singh,Sports,An epic tale of warriors and kingdoms,8.5
251,Ala Vaikunthapurramuloo,Mystery,An epic tale of warriors and kingdoms,7.5
252,Ala Vaikunthapurramuloo,Sci-Fi,A team of explorers travels through space and time,9.2
253,Ala Vaikunthapurramuloo,Sci-Fi,"A story of love, betrayal, and revenge",7.7
257,Taare Zameen Par,Crime,A team of explorers travels through space and time,8.9
258,Taare Zameen Par,Sports,An epic tale of warriors and kingdoms,9.2
259,Gully Boy,Mystery,A hero rises to defeat his enemies,8.9
260,RRR,Mystery,An epic tale of warriors and kingdoms,8.4
261,Gully Boy,Sports,"A story of love, betrayal, and revenge",7.1
262,Gully Boy,Action,"A story of love, betrayal, and revenge",7.1
263,Sholay,Sci-Fi,A young man rises to power and avenges his family,7.5
264,Gully Boy,Action,A team of explorers travels through space and time,8.3
266,Sholay,Crime,A young boy discovers his hidden powers,9.1
267,Eega,Thriller,An epic tale of warriors and kingdoms,9.3
268,PK,Drama,A hero rises to defeat his enemies,8.2
269,Swades,Romance,A romantic tale with unexpected twists,8.2
270,Arjun Reddy,Crime,A young man rises to power and avenges his family,7.8
271,RRR,Action,"A story of love, betrayal, and revenge",8.0
272,Taare Zameen Par,Romance,A romantic tale with unexpected twists,9.2
273,Jersey,Sports,"A story of love, betrayal, and revenge",7.1
274,Magadheera,Mystery,A romantic tale with unexpected twists,8.0
275,Dangal,Crime,"A story of love, betrayal, and revenge",9.0
277,Sholay,Action,A team of explorers travels through space and time,8.2
279,Eega,Crime,A team of explorers travels through space and time,8.7
281,Sholay,Thriller,A romantic tale with unexpected twists,7.2
282,Magadheera,Drama,"A story of love, betrayal, and revenge",9.4
283,Dangal,Sports,"A story of love, betrayal, and revenge",9.0
284,Dilwale Dulhania Le Jayenge,Adventure,"A story of love, betrayal, and revenge",8.2
285,Jersey,Mystery,A man fights for justice in a corrupt society,7.6
286,Lagaan,Sports,A romantic tale with unexpected twists,7.3
288,Ala Vaikunthapurramuloo,Thriller,A young man rises to power and avenges his family,9.2
289,Drishyam,Thriller,"A story of love, betrayal, and revenge",8.7
291,Kabir Singh,Adventure,"A story of love, betrayal, and revenge",9.2
292,Gully Boy,Action,A man fights for justice in a corrupt society,7.1
294,Baahubali: The Beginning,Comedy,A hero rises to defeat his enemies,8.7
295,Magadheera,Adventure,A hero rises to defeat his enemies,7.2
296,Baahubali: The Beginning,Sci-Fi,A young man rises to power and avenges his family,8.0
298,RRR,Sports,An epic tale of warriors and kingdoms,7.6
299,Baahubali: The Beginning,Mystery,A romantic tale with unexpected twists,7.6
300,RRR,Romance,A young boy discovers his hidden powers,8.5
301,Dangal,Comedy,A hero rises to defeat his enemies,8.2
302,Swades,Comedy,A team of explorers travels through space and time,8.0
303,Kabir Singh,Sci-Fi,A romantic tale with unexpected twists,7.2
305,Magadheera,Comedy,A hero rises to defeat his enemies,8.8
307,Lagaan,Romance,A young boy discovers his hidden powers,8.6
308,Dilwale Dulhania Le Jayenge,Mystery,An epic tale of warriors and kingdoms,8.1
309,PK,Mystery,A young boy discovers his hidden powers,8.4
310,Dangal,Mystery,A romantic tale with unexpected twists,8.9
311,Ala Vaikunthapurramuloo,Sci-Fi,A man fights for justice in a corrupt society,7.7
313,Drishyam,Drama,A hero rises to defeat his enemies,8.8
315,PK,Sports,A man fights for justice in a corrupt society,7.3
316,Taare Zameen Par,Crime,A romantic tale with unexpected twists,9.2
318,Ala Vaikunthapurramuloo,Adventure,A hero rises to defeat his enemies,9.4
319,Magadheera,Drama,An epic tale of warriors and kingdoms,8.0
320,Ala Vaikunthapurramuloo,Romance,An epic tale of warriors and kingdoms,8.7
321,Drishyam,Sci-Fi,A team of explorers travels through space and time,7.6
322,Rang De Basanti,Crime,A young man rises to power and avenges his family,7.4
323,Rang De Basanti,Adventure,A romantic tale with unexpected twists,8.7
324,Jersey,Crime,An epic tale of warriors and kingdoms,9.1
325,Bharat Ane Nenu,Thriller,A team of explorers travels through space and time,7.2
326,Chak De India,Comedy,An epic tale of warriors and kingdoms,7.2
327,Jersey,Thriller,An epic tale of warriors and kingdoms,8.7
328,Dangal,Thriller,A hero rises to defeat his enemies,8.0
329,Magadheera,Sports,An epic tale of warriors and kingdoms,7.5
330,Rang De Basanti,Comedy,A man fights for justice in a corrupt society,7.5
331,Magadheera,Romance,A hero rises to defeat his enemies,7.1
334,Magadheera,Drama,A romantic tale with unexpected twists,8.9
336,RRR,Action,A hero rises to defeat his enemies,7.5
337,Arjun Reddy,Action,A romantic tale with unexpected twists,8.0
339,Swades,Mystery,A romantic tale with unexpected twists,7.8
340,Drishyam,Mystery,A romantic tale with unexpected twists,9.4
342,Eega,Thriller,A young boy discovers his hidden powers,7.3
343,Baahubali: The Beginning,Comedy,A romantic tale with unexpected twists,8.7
344,Dangal,Thriller,"A story of love, betrayal, and revenge",8.2
345,3 Idiots,Thriller,A man fights for justice in a corrupt society,9.0
346,Eega,Drama,A young boy discovers his hidden powers,7.6
349,Dilwale Dulhania Le Jayenge,Sports,An epic tale of warriors and kingdoms,8.6
350,Lagaan,Action,A romantic tale with unexpected twists,7.4
351,Taare Zameen Par,Sports,"A story of love, betrayal, and revenge",8.2
352,Baahubali: The Beginning,Romance,A romantic tale with unexpected twists,7.8
353,Bharat Ane Nenu,Adventure,A young man rises to power and avenges his family,8.5
354,Rang De Basanti,Mystery,A romantic tale with unexpected twists,7.4
356,Eega,Adventure,A team of explorers travels through space and time,8.6
357,Swades,Thriller,"A story of love, betrayal, and revenge",9.0
358,RRR,Sports,A young boy discovers his hidden powers,7.5
359,Chak De India,Comedy,A young man rises to power and avenges his family,8.4
360,Gully Boy,Action,A hero rises to defeat his enemies,7.9
361,Drishyam,Sci-Fi,An epic tale of warriors and kingdoms,8.0
362,Dilwale Dulhania Le Jayenge,Romance,A team of explorers travels through space and time,8.1
363,Kabir Singh,Thriller,A romantic tale with unexpected twists,8.7
365,Kabir Singh,Sports,A team of explorers travels through space and time,8.5
366,Swades,Mystery,A hero rises to defeat his enemies,7.6
367,Lagaan,Action,"A story of love, betrayal, and revenge",8.6
368,Chak De India,Action,A hero rises to defeat his enemies,9.5
369,Jersey,Thriller,A young boy discovers his hidden powers,9.0
370,3 Idiots,Crime,A young boy discovers his hidden powers,7.1
371,Sholay,Mystery,"A story of love, betrayal, and revenge",8.9
372,Arjun Reddy,Mystery,A young man rises to power and avenges his family,9.0
373,Chak De India,Adventure,A team of explorers travels through space and time,8.5
374,Sholay,Action,A young man rises to power and avenges his family,7.3
375,Eega,Comedy,A hero rises to defeat his enemies,9.2
376,PK,Sci-Fi,A young boy discovers his hidden powers,8.0
377,Drishyam,Crime,An epic tale of warriors and kingdoms,7.3
378,Lagaan,Drama,A romantic tale with unexpected twists,9.0
379,Eega,Sci-Fi,A young man rises to power and avenges his family,9.3
380,RRR,Comedy,"A story of love, betrayal, and revenge",8.2
381,Ala Vaikunthapurramuloo,Comedy,A team of explorers travels through space and time,8.4
382,Gully Boy,Mystery,"A story of love, betrayal, and revenge",7.5
384,Arjun Reddy,Adventure,A romantic tale with unexpected twists,9.1
385,3 Idiots,Crime,A young man rises to power and avenges his family,7.2
386,Drishyam,Thriller,A hero rises to defeat his enemies,7.1
387,Chak De India,Sci-Fi,A man fights for justice in a corrupt society,7.4
388,Baahubali: The Beginning,Action,"A story of love, betrayal, and revenge",8.7
389,Pushpa: The Rise,Crime,A young man rises to power and avenges his family,9.0
392,Arjun Reddy,Sci-Fi,A young boy discovers his hidden powers,7.5
393,Bharat Ane Nenu,Adventure,A man fights for justice in a corrupt society,7.6
395,3 Idiots,Romance,A hero rises to defeat his enemies,8.6
396,Eega,Action,A hero rises to defeat his enemies,8.3
397,Taare Zameen Par,Thriller,A young boy discovers his hidden powers,9.2
399,Eega,Romance,A young boy discovers his hidden powers,9.1
400,RRR,Comedy,An epic tale of warriors and kingdoms,8.4
401,Bharat Ane Nenu,Sports,A hero rises to defeat his enemies,7.4
403,Jersey,Drama,An epic tale of warriors and kingdoms,8.9
404,Dilwale Dulhania Le Jayenge,Sci-Fi,A hero rises to defeat his enemies,8.0
405,Bharat Ane Nenu,Drama,A young boy discovers his hidden powers,8.7
406,PK,Sci-Fi,A team of explorers travels through space and time,7.5
408,Bharat Ane Nenu,Sports,An epic tale of warriors and kingdoms,7.6
409,Magadheera,Romance,A young man rises to power and avenges his family,7.4
410,Gully Boy,Comedy,An epic tale of warriors and kingdoms,8.2
411,Kabir Singh,Romance,An epic tale of warriors and kingdoms,7.2
412,Kabir Singh,Romance,A young boy discovers his hidden powers,7.7
413,3 Idiots,Crime,A hero rises to defeat his enemies,7.5
414,Drishyam,Action,A romantic tale with unexpected twists,8.7
415,Jersey,Comedy,A romantic tale with unexpected twists,9.0
416,Dilwale Dulhania Le Jayenge,Drama,A man fights for justice in a corrupt society,7.6
417,Arjun Reddy,Drama,A romantic tale with unexpected twists,7.6
418,Baahubali: The Beginning,Romance,A team of explorers travels through space and time,7.7
419,PK,Thriller,A young man rises to power and avenges his family,9.2
421,Rang De Basanti,Crime,A young boy discovers his hidden powers,9.2
423,Gully Boy,Romance,A hero rises to defeat his enemies,7.4
424,Jersey,Crime,A young man rises to power and avenges his family,9.2
425,Bharat Ane Nenu,Sci-Fi,A romantic tale with unexpected twists,7.8
426,PK,Drama,A romantic tale with unexpected twists,7.8
427,Magadheera,Sports,"A story of love, betrayal, and revenge",7.1
428,Baahubali: The Beginning,Romance,A young boy discovers his hidden powers,8.7
429,Dilwale Dulhania Le Jayenge,Adventure,A team of explorers travels through space and time,9.1
430,PK,Drama,A man fights for justice in a corrupt society,7.3
432,Eega,Thriller,A man fights for justice in a corrupt society,7.2
433,Lagaan,Thriller,A man fights for justice in a corrupt society,8.9
434,Drishyam,Crime,A young man rises to power and avenges his family,8.2
435,Baahubali: The Beginning,Romance,"A story of love, betrayal, and revenge",8.5
436,Swades,Drama,A hero rises to defeat his enemies,7.9
437,Rang De Basanti,Action,A young boy discovers his hidden powers,7.9
438,Arjun Reddy,Action,A man fights for justice in a corrupt society,8.2
439,Pushpa: The Rise,Romance,A young man rises to power and avenges his family,9.2
441,Pushpa: The Rise,Comedy,A man fights for justice in a corrupt society,9.4
442,Swades,Action,A team of explorers travels through space and time,7.5
444,Sholay,Adventure,An epic tale of warriors and kingdoms,7.9
445,Baahubali: The Beginning,Crime,"A story of love, betrayal, and revenge",7.0
446,Pushpa: The Rise,Sci-Fi,A romantic tale with unexpected twists,9.3
447,RRR,Comedy,A team of explorers travels through space and time,7.3
448,Lagaan,Sci-Fi,A romantic tale with unexpected twists,8.4
449,RRR,Comedy,A young man rises to power and avenges his family,7.8
450,Dangal,Sci-Fi,A hero rises to defeat his enemies,9.0
451,Bharat Ane Nenu,Adventure,A young boy discovers his hidden powers,7.1
452,Dilwale Dulhania Le Jayenge,Sci-Fi,A team of explorers travels through space and time,8.9
453,Baahubali: The Beginning,Sci-Fi,An epic tale of warriors and kingdoms,7.9
454,Chak De India,Sci-Fi,A team of explorers travels through space and time,8.3
456,Lagaan,Comedy,A romantic tale with unexpected twists,7.1
457,Kabir Singh,Thriller,A hero rises to defeat his enemies,8.6
459,Lagaan,Crime,A young man rises to power and avenges his family,7.2
460,Chak De India,Action,A team of explorers travels through space and time,8.9
461,Dilwale Dulhania Le Jayenge,Sci-Fi,"A story of love, betrayal, and revenge",8.5
463,Chak De India,Crime,A man fights for justice in a corrupt society,9.5
464,Drishyam,Drama,A romantic tale with unexpected twists,8.8
465,Magadheera,Mystery,A man fights for justice in a corrupt society,9.3
466,Pushpa: The Rise,Drama,"A story of love, betrayal, and revenge",9.3
467,Kabir Singh,Comedy,A hero rises to defeat his enemies,7.2
468,Lagaan,Crime,A hero rises to defeat his enemies,9.0
469,Swades,Action,A hero rises to defeat his enemies,7.5
470,Taare Zameen Par,Action,A team of explorers travels through space and time,7.6
472,Drishyam,Action,"A story of love, betrayal, and revenge",8.3
473,Taare Zameen Par,Romance,A hero rises to defeat his enemies,7.3
476,Kabir Singh,Adventure,A man fights for justice in a corrupt society,9.0
477,Chak De India,Sports,A man fights for justice in a corrupt society,8.5
478,Kabir Singh,Comedy,A young boy discovers his hidden powers,8.3
480,Dangal,Mystery,A young boy discovers his hidden powers,9.2
481,Eega,Drama,A romantic tale with unexpected twists,9.1
483,Baahubali: The Beginning,Drama,A man fights for justice in a corrupt society,8.8
